Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,115.4,-79.2,-90.0,top
C2,100n,C_0402_1005Metric,115.4,-81.2,-90.0,top
C4,4.7u,C_0402_1005Metric,124.9,-83.1,0.0,top
C5,470p,C_0402_1005Metric,125.1,-87.2,180.0,top
C6,270pF +/-1pF,C_0402_1005Metric,125.1,-85.2,0.0,top
C7,330u,CP_EIA-7343-31_Kemet-D,131.1,-63.2,180.0,top
C8,330u,CP_EIA-7343-31_Kemet-D,131.1,-85.5,180.0,top
C9,330u,CP_EIA-7343-31_Kemet-D,122.0,-92.45,90.0,top
D1,1N4148WS,D_SOD-323,116.5,-86.25,180.0,top
FB1,Ferrite_Bead_Small,C_0805_2012Metric,108.534895,-97.35,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_Type_C_C167321,102.612395,-100.5275,-90.0,top
J2,DB15_Female_HighDensity,DSUB-15-HD_LCSC_C75754,103.125,-76.7,-90.0,top
J3,Mini-DIN-4,MiniDin4,131.8,-74.2,90.0,top
J4,Conn_Coaxial,RCA,135.062236,-100.2,-90.0,top
L1,8.2u,L_1210_3225Metric,126.4,-91.3,-90.0,top
Q1,Q_Dual_NMOS_G1S2G2D2S1D1,SOT-363_SC-70-6,116.15,-95.15,90.0,top
Q2,Q_NMOS_GSD,SOT-23,116.5,-89.35,90.0,top
Q3,BC846BDW1,SOT-363_SC-70-6,117.05,-70.65,-90.0,top
R1,5K1,R_0402_1005Metric,107.2,-99.8,90.0,top
R2,5K1,R_0402_1005Metric,107.2,-102.934895,90.0,top
R3,100K,R_0402_1005Metric,115.6,-92.45,-90.0,top
R4,430R,R_0603_1608Metric,119.9,-86.25,180.0,top
R5,10K,R_0402_1005Metric,116.7,-92.45,90.0,top
R6,1K5,R_0402_1005Metric,118.9,-88.39,-90.0,top
R7,10K,R_0402_1005Metric,116.65,-97.4,180.0,top
R8,820R,R_0603_1608Metric,115.65,-67.4,90.0,top
R9,2K2,R_0402_1005Metric,118.25,-95.55,-90.0,top
R10,91,R_0603_1608Metric,117.1,-77.4,180.0,top
R11,47K,R_0402_1005Metric,118.1,-67.6,-90.0,top
R12,75R,R_0402_1005Metric,124.8,-78.7,180.0,top
R13,75R,R_0402_1005Metric,124.8,-79.8,180.0,top
R14,75R,R_0402_1005Metric,124.8,-80.9,180.0,top
R15,75R,R_0402_1005Metric,124.8,-82.0,180.0,top
R16,430R,R_0603_1608Metric,117.05,-73.35,180.0,top
R17,47K,R_0402_1005Metric,117.05,-67.6,90.0,top
R18,160R,R_0603_1608Metric,117.05,-75.1,180.0,top
SW1,SW_SPDT,SW_SPDT_C393937,120.588883,-61.0,180.0,top
U1,THS7374,TSSOP-14_4.4x5mm_P0.65mm,120.0,-81.55,0.0,top
